Start Time,Stop Time,Start Station Name,End Station Name,Bike ID,User Type,Gender,Birth Year
9/21/15 18:40,9/21/15 18:46,Hamilton Park,Grove St PATH,24401,Subscriber,2,1981
9/21/15 18:40,9/21/15 18:52,City Hall,Essex Light Rail,24623,Subscriber,1,1974
9/21/15 18:42,9/21/15 18:58,JC Medical Center,City Hall,24448,Subscriber,1,1985
9/21/15 18:45,9/21/15 18:50,Sip Ave,McGinley Square,24555,Subscriber,1,1983
9/21/15 18:45,9/21/15 18:55,Paulus Hook,Hamilton Park,24422,Subscriber,1,1982
9/21/15 18:45,9/21/15 18:50,Grove St PATH,JC Medical Center,24628,Subscriber,1,1989
9/21/15 18:46,9/21/15 18:56,Grove St PATH,Liberty Light Rail,24500,Subscriber,1,1983
9/21/15 18:47,9/21/15 18:53,Grove St PATH,Brunswick St,24401,Subscriber,1,1984
9/21/15 18:48,9/21/15 19:02,Sip Ave,Grove St PATH,24547,Subscriber,1,1982
9/21/15 18:50,9/21/15 19:00,Riverview Park,Central Ave,24582,Subscriber,1,1970
9/21/15 18:51,9/21/15 18:55,Sip Ave,Dey St,24467,Subscriber,1,1973
9/21/15 18:51,9/21/15 19:22,Warren St,Warren St,24505,Subscriber,1,1976
9/21/15 18:52,9/21/15 18:57,City Hall,Hamilton Park,24617,Subscriber,1,1989
9/21/15 18:53,9/21/15 19:30,Newport PATH,Newport PATH,24603,Subscriber,1,1977
9/21/15 18:54,9/21/15 19:05,Van Vorst Park,Hamilton Park,24442,Subscriber,2,1976
9/21/15 18:58,9/21/15 19:03,City Hall,Newark Ave,24688,Subscriber,1,1968
9/21/15 18:59,9/21/15 19:07,Van Vorst Park,Van Vorst Park,24706,Subscriber,1,1967
9/21/15 18:59,9/21/15 19:03,City Hall,JC Medical Center,24694,Subscriber,1,1987
9/21/15 18:59,9/21/15 19:11,City Hall,Newport Pkwy,24521,Subscriber,1,1993
9/21/15 19:02,9/21/15 19:07,Grove St PATH,City Hall,24547,Subscriber,1,1980
9/21/15 19:04,9/21/15 19:13,Newport PATH,Van Vorst Park,24597,Subscriber,1,1991
9/21/15 19:04,9/21/15 19:33,City Hall,Newport PATH,24444,Customer,0,
9/21/15 19:05,9/21/15 19:34,City Hall,Newport PATH,24448,Subscriber,1,1985
9/21/15 19:06,9/21/15 19:09,City Hall,JC Medical Center,24523,Subscriber,1,1986
